"date","tau","sd_tau","pvalue_tau_left","pvalue_tau_bidirectional","pvalue_tau_right","cumulative","sd_cumulative","pvalue_sum_left","pvalue_sum_bidirectional","pvalue_sum_right","average","sd_average","pvalue_avg_left","pvalue_avg_bidirectional","pvalue_avg_right"
2014-03-16,10.7202102415819,1.21118490461245,1,0,0,10.7202102415819,1.21118490461245,1,0,0,10.7202102415819,1.21118490461245,1,0,0
2014-03-17,9.93134626178521,1.21118490461245,1,2.22044604925031e-16,1.11022302462516e-16,20.6515565033671,1.71287411864448,1,0,0,10.3257782516835,0.856437059322242,1,0,0
2014-03-18,10.3233829316227,1.21118490461245,1,0,0,30.9749394349898,2.09783379214922,1,0,0,10.3249798116633,0.699277930716407,1,0,0
2014-03-19,9.74074698802688,1.21118490461245,1,8.88178419700125e-16,4.44089209850063e-16,40.7156864230167,2.42236980922489,1,0,0,10.1789216057542,0.605592452306223,1,0,0
2014-03-20,11.5392430290544,1.21118490461245,1,0,0,52.2549294520711,2.70829178003503,1,0,0,10.4509858904142,0.541658356007006,1,0,0
2014-03-21,9.99282417774671,1.21118490461245,1,2.22044604925031e-16,1.11022302462516e-16,62.2477536298178,2.96678500046201,1,0,0,10.3746256049696,0.494464166743668,1,0,0
2014-03-22,9.81230001414738,1.21118490461245,1,4.44089209850063e-16,2.22044604925031e-16,72.0600536439651,3.20449404932002,1,0,0,10.2942933777093,0.457784864188574,1,0,0
2014-03-23,11.1999492884342,1.21118490461245,1,0,0,83.2600029323994,3.42574823728897,1,0,0,10.4075003665499,0.428218529661121,1,0,0
2014-03-24,11.1344339500611,1.21118490461245,1,0,0,94.3944368824605,3.63355471383734,1,0,0,10.4882707647178,0.403728301537482,1,0,0
2014-03-25,9.96152089221385,1.21118490461245,1,2.22044604925031e-16,1.11022302462516e-16,104.355957774674,3.83010296618911,1,0,0,10.4355957774674,0.383010296618911,1,0,0
2014-03-26,10.7564361734584,1.21118490461245,1,0,0,115.112393948133,4.01704588034188,1,0,0,10.4647630861939,0.365185989121989,1,0,0
2014-03-27,9.90708189517467,1.21118490461245,1,2.22044604925031e-16,1.11022302462516e-16,125.019475843307,4.19566758429844,1,0,0,10.4182896536089,0.349638965358204,1,0,0
2014-03-28,10.4400432701813,1.21118490461245,1,0,0,135.459519113489,4.36698927764814,1,0,0,10.4199630087299,0.33592225212678,1,0,0
2014-03-29,9.36439816729458,1.21118490461245,0.999999999999995,1.06581410364015e-14,5.32907051820075e-15,144.823917280783,4.53183894509225,1,0,0,10.3445655200559,0.323702781792304,1,0,0
2014-03-30,10.3351974171419,1.21118490461245,1,0,0,155.159114697925,4.69089896474182,1,0,0,10.3439409798617,0.312726597649455,1,0,0
2014-03-31,9.44952044776959,1.21118490461245,0.999999999999997,5.99520433297585e-15,2.99760216648792e-15,164.608635145695,4.84473961844979,1,0,0,10.2880396966059,0.302796226153112,1,0,0
2014-04-01,9.89034631178558,1.21118490461245,1,2.22044604925031e-16,1.11022302462516e-16,174.49898145748,4.99384329387077,1,0,0,10.2646459680871,0.293755487874751,1,0,0
2014-04-02,9.60380973459696,1.21118490461245,0.999999999999999,2.22044604925031e-15,1.11022302462516e-15,184.102791192077,5.13862235593345,1,0,0,10.2279328440043,0.285479019774081,1,0,0
2014-04-03,12.3549469298518,1.21118490461245,1,0,0,196.457738121929,5.2794326011476,1,0,0,10.3398809537857,0.277864873744611,1,0,0
2014-04-04,10.1958455340939,1.21118490461245,1,0,0,206.653583656023,5.41658356007006,1,0,0,10.3326791828012,0.270829178003503,1,0,0
2014-04-05,9.67307679159018,1.21118490461245,0.999999999999999,1.33226762955019e-15,6.66133814775094e-16,216.326660447613,5.5503465059744,1,0,0,10.3012695451244,0.26430221457021,1,0,0
2014-04-06,11.260368724655,1.21118490461245,1,0,0,227.587029172268,5.68096076465446,1,0,0,10.3448649623758,0.258225489302475,1,0,0
2014-04-07,10.0041270604671,1.21118490461245,1,2.22044604925031e-16,1.11022302462516e-16,237.591156232735,5.80863874610088,1,0,0,10.3300502709885,0.252549510700038,1,0,0
2014-04-08,10.2924293799368,1.21118490461245,1,0,0,247.883585612672,5.93357000092402,1,0,0,10.3284827338613,0.247232083371834,1,0,0
2014-04-09,9.38656808290011,1.21118490461245,0.999999999999995,9.10382880192628e-15,4.55191440096314e-15,257.270153695572,6.05592452306223,1,0,0,10.2908061478229,0.242236980922489,1,0,0
2014-04-10,10.0690142823032,1.21118490461245,1,0,0,267.339167977875,6.17585546318788,1,0,0,10.2822756914567,0.237532902430303,1,0,0
2014-04-11,12.3861910133577,1.21118490461245,1,0,0,279.725358991233,6.29350137644766,1,0,0,10.3601984811568,0.233092643572136,1,0,0
2014-04-12,10.1167384796688,1.21118490461245,1,0,0,289.842097470902,6.40898809864004,1,0,0,10.3515034811036,0.228892432094287,1,0,0
2014-04-13,8.61022003307465,1.21118490461245,0.999999999999415,1.16950893414014e-12,5.8475446707007e-13,298.452317503976,6.52243032325151,1,0,0,10.2914592242751,0.224911390456949,1,0,0
2014-04-14,12.2571538016622,1.21118490461245,1,0,0,310.709471305639,6.6339329356598,1,0,0,10.3569823768546,0.221131097855327,1,0,0
